Longitude,Latitude,Telsur_no,Age,Gender,SpCom,State,IV_Date,o_oh,F1_o,F2_o,F1_oh,F2_oh
-101.451285,48.336898,251,43,F,Minot,ND,2/10/95,0,875,1276,908,1262
-122.30373,47.753019,591,18,F,Seattle,WA,10/4/96,0,781,1245,757,1232
-122.36978,47.740886,590,43,F,Seattle,WA,10/3/96,1,775,1278,775,1280
-117.43979,47.69399,318,35,F,Spokane,WA,4/4/95,0,817,1323,811,1301
-92.442797,47.640367,4,48,F,Duluth,MN,4/7/92,0,835,1411,867,1403
-94.7611,47.5271,43,28,F,Bemidji,MN,12/14/92,10,821,1330,809,1320
-111.34499,47.514307,135,48,M,Great Falls,MT,10/16/94,0,779,1195,785,1176
-92.87637,47.509833,53,41,F,Chisholm,MN,1/20/93,0,838,1508,751,1200
-105.84727,47.274624,336,78,F,Brockway,MT ,4/20/95,0,821,1185,807,1174
-114.01229,46.855423,327,31,F,Missoula,MT,4/14/95,0,891,1282,896,1235
-96.839,46.812118,166,19,M,Fargo,ND,11/21/94,0,919,1326,916,1319
-100.75381,46.768617,276,25,F,Bismarck,ND,3/1/95,0,854,1319,827,1288
-92.09474,46.684273,22,39,F,Superior,WI,6/8/92,0,927,1345,937,1388
-94.27017,46.347175,37,49,M,Brainerd,MN,11/4/92,11,867,1265,855,1225
-102.11476,46.034096,294,25,F,Lemmon,SD,3/17/95,11,869,1289,774,1130
-91.35255,46.005082,48,50,M,Hayward,WI,1/18/93,12,832,1533,750,1332
-118.07919,45.986775,581,54,F,Walla Walla,WA,9/19/96,0,762,1218,702,1187
-108.5742,45.778852,129,62,F,Billings,MT,10/5/94,11,904,1396,820,1193
-108.5742,45.778852,146,39,F,Billings,MT,11/4/94,0,835,1280,838,1287
-122.68473,45.709555,390,52,F,Portland,OR,5/25/95,0,832,1171,835,1150
-122.73875,45.589689,383,26,F,Portland,OR,5/19/95,0,848,1208,828,1186
-98.49646,45.46932,165,33,F,Aberdeen,SD,11/20/94,22,931,1524,747,1272
-98.49646,45.46932,175,40,F,Aberdeen,SD,12/3/94,1,924,1360,819,1191
-98.49646,45.46932,247,22,F,Aberdeen,SD,2/8/95,1,869,1487,824,1334
-122.78224,45.43884,386,28,F,Portland,OR,5/24/95,1,822,1234,793,1219
-65.9441,45.38889,656,38,F,Saint John,NB,5/24/97,1,797,1281,769,1198
-66.01888887,45.348074,648,52,F,Saint John,NB,5/1/97,0,813,1234,781,1203
-95.04504,45.118846,39,42,F,Willmar,MN,12/1/92,11,833,1330,757,1278
-92.82581,45.054551,71,26,F,Stillwater,MN,3/22/93,0,850,1230,827,1234
-93.37795,44.952064,70,31,M,Minneapolis,MN,3/22/93,12,840,1536,753,1165
-93.12049,44.935315,72,57,F,St. Paul,MN,3/22/93,22,790,1435,731,1203
-97.11346,44.916657,41,35,M,Watertown,SD,12/7/92,22,912,1457,829,1278
-87.89935,44.886571,61,32,M,Oconto,WI,2/22/93,22,915,1498,771,1216
-93.54487,44.866236,160,24,F,Minneapolis,MN,11/17/94,0,902,1386,815,1298
-98.5409,44.864263,58,26,M,Redfield,SD,2/1/93,22,826,1458,712,1252
-68.78952,44.81777,720,41,F,Bangor,ME,11/9/98,11,792,1265,769,1173
-91.285931,44.726626,42,36,M,Eau Claire,WI,12/9/92,22,866,1299,737,1135
-69.61297,44.554965,432,66,F,Waterville,ME,11/1/95,0,779,1269,781,1271
-89.55621,44.524054,60,43,M,Stevens Poi,WI,2/8/93,22,866,1436,737,1228
-88.01674,44.489059,227,60,F,Green Bay,WI,1/31/95,12,812,1436,756,1198
-73.22126,44.484038,435,49,F,Burlington,VT,11/7/95,0,803,1292,790,1283
-73.22126,44.484038,436,81,F,Burlington,VT,11/7/95,0,771,1330,750,1242
-88.007382,44.460064,219,14,F,Green Bay,WI,1/27/95,22,863,1562,776,1296
-88.4383,44.267411,20,52,F,Appleton,WI,5/26/92,22,781,1458,716,1275
-103.33329,44.173449,136,38,M,Rapid City,SD,10/16/94,0,783,1373,795,1370
-123.13604,44.101227,582,35,F,Eugene,OR,9/24/96,0,783,1284,799,1307
-92.44427,44.064733,11,56,M,Rochester,MN,5/5/92,22,776,1455,708,1247
-94.63345,43.986563,59,42,F,St. James,MN,2/1/93,11,826,1530,750,1299
-115.87903,43.85128,296,48,M,Boise,ID,3/17/95,0,787,1341,722,1159
-89.1409,43.7424,826,22,M,Marquette,MI,6/26/01,0,825,1426,812,1366
-96.79134,43.674582,1,50,M,Sioux Falls,SD,2/24/92,12,833,1468,714,1123
-116.25707,43.668396,298,47,M,Boise,ID,3/17/95,10,818,1254,748,1096
-70.25862,43.660525,724,45,F,Portland,ME,11/17/98,0,758,1168,763,1114
-72.96325,43.617302,434,53,F,Rutland,VT,11/3/95,0,808,1415,811,1426
-72.96325,43.617302,461,30,F,Rutland,VT,1/23/96,0,835,1302,839,1299
-96.7324,43.560826,49,37,F,Sioux Falls,SD,3/19/92,22,732,1463,731,1281
-89.99183,43.53414,15,69,F,Reedsburg,WI,5/18/92,12,839,1434,702,1127
-111.98136,43.528891,577,32,F,Idaho Falls,ID,9/16/96,1,788,1263,787,1179
-83.91427,43.413975,209,41,M,Saginaw,MI,1/25/95,22,761,1544,676,1233
-77.59721,43.223213,359,35,F,Rochester,NY,5/4/95,22,839,1531,814,1233
-71.53774,43.213705,825,37,F,Concord,NH,5/31/01,0,819,1353,831,1308
-93.20037,43.153969,44,32,M,Mason City,IA,12/14/92,22,843,1471,738,1203
-93.20037,43.153969,123,29,F,Mason City,IA,9/22/94,1,835,1366,763,1158
-77.72465,43.127195,360,20,F,Rochester,NY,5/4/95,21,932,1379,784,1100
-89.34968,43.121416,143,34,F,Madison,WI,10/27/94,22,817,1584,773,1218
-76.23488,43.081324,331,47,M,Syracuse,NY,4/21/95,22,868,1603,724,1076
-89.32085,43.065621,148,28,F,Madison,WI,11/2/94,22,885,1475,756,1114
-88.04239,43.048545,221,51,F,Milwaukee,WI,1/28/95,22,905,1507,728,1120
-87.9005,43.046213,47,35,F,Milwaukee,WI,1/15/93,22,857,1571,771,1241
-87.958409,43.011264,9,31,M,Milwaukee,WI,4/29/92,11,817,1689,705,1234
-71.44716,43.006033,447,75,F,Manchester,NH,11/20/95,0,771,1172,743,1136
-76.2177,42.996804,546,47,F,Syracuse,NY,7/9/96,22,837,1625,747,1115
-71.4868,42.990684,726,34,F,Manchester,NH,11/25/98,0,825,1277,850,1274
-87.89998,42.985465,62,33,F,Milwaukee,WI,2/22/93,22,772,1369,714,1089
-85.69733,42.977925,112,33,F,Grand Rapid,MI,3/30/94,22,877,1517,736,1217
-83.70142,42.973263,85,46,F,Flint,MI,12/13/93,22,835,1421,806,1289
-83.780835,42.965926,86,50,M,Flint,MI,12/14/93,22,814,1461,701,1118
-78.85923,42.949707,348,28,M,Buffalo,NY,4/27/95,21,890,1499,819,1244
-85.65435,42.933077,113,42,F,Grand Rapid,MI,4/5/94,22,899,1420,715,1101
-106.53986,42.791242,326,12,F,Casper,WY,4/14/95,0,833,1135,810,1142
-73.8179,42.713328,353,46,M,Albany,NY,5/1/95,22,829,1421,603,1069
-88.04658,42.696322,267,64,M,Kenosha,WI,2/17/95,12,805,1507,717,1286
-73.72587,42.63738,354,30,F,Albany,NY,5/3/95,22,910,1358,735,1093
-78.73768,42.627312,347,56,F,Buffalo,NY,4/26/95,22,807,1524,689,1084
-89.64037,42.603462,45,36,F,Monroe,WI,12/16/92,22,889,1398,779,1171
-87.82979,42.60217,268,49,M,Kenosha,WI,2/22/95,22,754,1464,668,1160
-87.662878,42.58098,3,28,F,Kenosha,WI,3/27/92,22,882,1716,843,1340
-96.4293,42.505387,7,46,M,Sioux City,IA,4/13/92,12,867,1453,741,1113
-83.30197,42.426285,173,51,F,Detroit,MI,12/3/94,22,911,1605,747,1156
-83.30197,42.426285,176,37,F,Detroit,MI,12/4/94,22,831,1431,669,961
-89.83062,42.381064,69,47,F,Lena,IL,3/8/93,22,849,1242,694,1024
-83.29105,42.379436,119,34,M,Detroit,MI,4/20/94,22,770,1623,699,1240
-96.317951,42.368406,5,75,F,Sioux City,IA,4/8/92,12,844,1478,679,1258
-71.07372,42.349622,454,33,M,Boston,MA,12/1/95,10,729,1309,727,1286
